"Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
34,"No","Rarely","HR",23,"Master","Medical","Medium","Male","High","2","ResearchDir","High","Divorced",4568,0,"Yes",20,"High","0",10,2,"High",9,5,8,7
37,"No","Non-Travel","R&D",19,"College","Other","Medium","Male","High","1","SalesRep","Medium","Married",3022,4,"Yes",21,"Low","0",8,1,"High",1,0,0,0
46,"No","Frequently","HR",5,"Master","Medical","Low","Male","High","2","ResearchDir","Very High","Divorced",5772,4,"No",21,"High","0",14,4,"High",9,6,0,8
35,"No","Non-Travel","R&D",8,"Below College","Other","Very High","Male","Very High","1","LabTech","Very High","Married",2269,1,"Yes",19,"Very High","0",1,2,"High",1,0,0,1
48,"Yes","Non-Travel","R&D",1,"College","Other","Low","Male","Medium","3","LabTech","High","Divorced",5381,9,"No",13,"Very High","0",23,2,"High",1,0,0,0
28,"Yes","Non-Travel","R&D",5,"Master","HR","High","Male","High","1","LabTech","High","Divorced",3441,1,"No",13,"High","0",2,3,"Medium",2,2,2,2
44,"No","Non-Travel","HR",1,"Doctor","Medical","Medium","Female","High","2","ResearchDir","Low","Single",5454,5,"No",21,"High","1",9,2,"Medium",4,3,1,3
35,"No","Rarely","R&D",11,"College","Marketing","High","Male","Medium","3","SalesExec","Low","Married",9884,2,"No",13,"High","1",10,3,"High",4,0,2,3
26,"No","Non-Travel","HR",23,"Bachelor","Medical","High","Female","Medium","2","ResearchDir","Very High","Married",4157,7,"No",19,"High","1",5,2,"Medium",2,2,0,0
33,"No","Frequently","R&D",1,"College","Other","Low","Female","High","3","Mgr","Very High","Divorced",13458,1,"No",12,"High","0",15,1,"High",15,14,8,12
35,"No","Frequently","HR",18,"Doctor","Other","Medium","Male","High","3","ResearchDir","Low","Married",9069,1,"Yes",22,"Very High","1",9,3,"Medium",9,8,1,8
35,"No","Non-Travel","R&D",23,"Master","Marketing","High","Female","High","1","LabTech","Low","Married",4014,3,"No",15,"High","1",4,3,"High",2,2,2,2
31,"No","Non-Travel","R&D",7,"Master","Other","Very High","Male","High","2","LabTech","Very High","Single",5915,3,"Yes",22,"Very High","1",10,3,"Medium",7,7,1,7
37,"No","Non-Travel","R&D",1,"Master","Other","Low","Male","Medium","2","HealthcareRep","High","Single",5993,1,"Yes",18,"High","1",7,2,"Very High",7,5,0,7
32,"No","Non-Travel","R&D",1,"Bachelor","Marketing","Low","Male","High","2","HealthcareRep","Very High","Married",6162,1,"No",22,"Medium","1",9,3,"High",9,8,7,8
38,"No","Frequently","R&D",29,"Doctor","Other","Very High","Female","High","2","LabTech","Very High","Divorced",2406,1,"Yes",11,"Very High","0",10,2,"High",10,3,9,9
50,"No","Non-Travel","R&D",7,"College","Marketing","Medium","Female","Medium","5","Mgr","High","Single",18740,5,"No",12,"Very High","1",29,2,"Medium",27,3,13,8
59,"No","Non-Travel","HR",25,"Bachelor","Other","Low","Female","High","3","ResearchDir","Low","Divorced",7637,7,"Yes",11,"Very High","0",28,3,"Medium",21,16,7,9
36,"No","Non-Travel","R&D",8,"Bachelor","HR","High","Female","High","3","SalesExec","High","Single",10096,1,"Yes",13,"Medium","3",17,2,"High",17,14,12,8
55,"No","Non-Travel","R&D",8,"Bachelor","Marketing","Very High","Female","High","4","ManufacturingDir","High","Single",14756,2,"No",14,"High","3",21,2,"High",5,0,0,2
36,"No","Frequently","R&D",11,"Bachelor","Other","Medium","Male","Medium","2","HealthcareRep","Medium","Divorced",6499,1,"Yes",13,"High","0",6,3,"High",6,5,0,3
45,"No","Non-Travel","R&D",7,"Bachelor","Other","Medium","Male","High","3","SalesRep","Low","Single",9724,2,"Yes",17,"High","1",25,2,"High",1,0,0,0
35,"No","Frequently","R&D",1,"Bachelor","Marketing","Medium","Male","High","1","SalesRep","Low","Married",2194,4,"Yes",13,"Very High","1",5,2,"Medium",3,2,1,2
36,"Yes","Non-Travel","R&D",9,"Bachelor","Marketing","Very High","Male","Medium","1","SalesRep","High","Married",3388,0,"No",17,"Low","1",2,0,"Medium",1,0,0,0
59,"No","Frequently","HR",1,"Below College","Other","Low","Female","Medium","2","ResearchDir","High","Divorced",5473,7,"Yes",11,"Very High","0",20,2,"Medium",4,3,1,3
29,"No","Non-Travel","R&D",2,"Bachelor","Other","High","Male","High","1","SalesRep","Medium","Married",2703,0,"Yes",23,"Very High","1",6,3,"High",5,4,0,4
31,"No","Non-Travel","R&D",1,"Master","Marketing","High","Male","High","1","SalesRep","Medium","Divorced",2501,1,"Yes",17,"Medium","0",1,4,"High",1,1,1,0
32,"No","Non-Travel","R&D",1,"Bachelor","Other","Medium","Male","High","2","SalesRep","Medium","Married",6220,1,"Yes",17,"Medium","2",10,3,"High",10,4,0,9
36,"No","Non-Travel","R&D",6,"Bachelor","Other","Medium","Female","Very High","1","LabTech","Very High","Married",3038,3,"Yes",12,"Medium","0",5,3,"High",1,0,0,0
31,"No","Non-Travel","R&D",8,"Master","Other","High","Female","High","2","HealthcareRep","Very High","Divorced",4424,1,"Yes",23,"Very High","0",11,2,"High",11,7,1,8
35,"No","Non-Travel","HR",1,"Master","Medical","High","Male","Medium","2","ResearchDir","Low","Divorced",4312,0,"Yes",14,"Medium","0",16,2,"High",15,13,2,8
45,"No","Non-Travel","R&D",6,"Master","Tech","Very High","Male","High","3","Mgr","Low","Married",13245,4,"No",14,"Medium","0",17,3,"Very High",0,0,0,0
37,"No","Non-Travel","R&D",7,"Master","Marketing","Low","Male","High","3","Mgr","High","Divorced",13664,4,"Yes",13,"Low","0",16,3,"Very High",5,2,0,2
46,"No","Non-Travel","Sales",5,"College","Marketing","Medium","Male","High","2","ResearchSci","Medium","Single",5021,8,"No",22,"Very High","1",16,2,"High",4,2,0,2
30,"No","Non-Travel","R&D",1,"Below College","Other","Very High","Male","Medium","2","LabTech","Very High","Married",5126,1,"No",12,"High","2",10,1,"Medium",10,8,3,0
35,"No","Non-Travel","R&D",1,"Bachelor","Marketing","Medium","Male","Medium","1","SalesRep","High","Divorced",2859,1,"Yes",18,"Low","0",6,3,"High",6,4,0,4
55,"No","Non-Travel","HR",1,"College","Other","Low","Male","High","3","ResearchDir","Very High","Married",10239,3,"Yes",14,"Very High","1",24,4,"High",1,0,1,0
38,"No","Rarely","R&D",6,"Bachelor","Marketing","Medium","Female","Low","2","SalesRep","Very High","Single",5329,7,"No",12,"Very High","3",17,3,"High",13,11,1,9
34,"No","Non-Travel","R&D",1,"College","Marketing","Low","Male","High","2","HealthcareRep","Medium","Married",4325,1,"Yes",15,"High","0",5,2,"High",5,2,1,3
56,"No","Non-Travel","R&D",7,"Bachelor","Other","Very High","Male","Low","3","HealthcareRep","Very High","Divorced",7260,4,"Yes",11,"Low","0",37,3,"Medium",6,4,0,2
23,"No","Non-Travel","HR",2,"Below College","HR","High","Male","High","1","HR Personnel","Low","Single",2322,3,"Yes",13,"High","1",3,3,"High",0,0,0,0
51,"No","Non-Travel","R&D",9,"Master","Other","Very High","Male","High","1","LabTech","Very High","Married",2075,3,"Yes",23,"Medium","2",10,4,"High",4,2,0,3
30,"No","Non-Travel","R&D",2,"Bachelor","Other","High","Male","Medium","2","SalesExec","Very High","Married",4152,1,"Yes",19,"Low","3",11,3,"High",11,10,10,8
46,"Yes","Non-Travel","HR",9,"College","Marketing","High","Male","Medium","3","ResearchDir","Very High","Divorced",9619,1,"Yes",16,"Very High","0",9,3,"High",9,8,4,7
40,"No","Frequently","R&D",1,"Master","Other","High","Male","Medium","4","SalesExec","Medium","Married",13503,1,"Yes",22,"Very High","1",22,3,"Medium",22,3,11,11
51,"No","Non-Travel","HR",21,"Master","Medical","High","Male","High","2","ResearchDir","Very High","Divorced",5441,0,"No",22,"Very High","0",11,2,"Low",10,7,1,0
30,"No","Non-Travel","HR",4,"College","Marketing","High","Female","Medium","2","ResearchDir","Medium","Single",5209,1,"No",12,"Medium","3",11,4,"Medium",11,8,2,7
46,"No","Frequently","R&D",1,"Bachelor","Marketing","High","Male","Medium","3","SalesExec","Low","Married",10673,2,"No",13,"High","1",21,5,"Medium",10,9,9,5
32,"No","Non-Travel","HR",6,"Master","Marketing","Medium","Male","High","2","ResearchDir","High","Divorced",5010,1,"Yes",16,"Low","0",12,0,"High",11,8,5,7
54,"No","Non-Travel","R&D",2,"Master","HR","Low","Female","High","3","Mgr","High","Married",13549,9,"Yes",12,"Low","1",16,5,"Low",4,3,0,3
24,"No","Non-Travel","HR",3,"College","Tech","Low","Female","High","2","ResearchDir","High","Married",4999,0,"Yes",21,"Low","1",4,2,"Medium",3,2,0,2
28,"No","Rarely","HR",4,"Bachelor","Marketing","Medium","Male","High","2","ResearchDir","High","Married",4221,1,"Yes",15,"Medium","0",5,3,"Very High",5,4,0,4
58,"No","Non-Travel","HR",10,"Master","Marketing","Very High","Male","High","4","ResearchDir","High","Divorced",13872,0,"Yes",13,"High","0",38,1,"Medium",37,10,1,8
44,"No","Rarely","R&D",23,"Bachelor","Marketing","Medium","Male","High","2","LabTech","Medium","Married",2042,4,"Yes",12,"High","1",17,3,"Very High",3,2,1,2
37,"Yes","Non-Travel","Sales",6,"Master","LifeSci","High","Male","High","1","ResearchSci","Low","Single",2073,4,"No",22,"Very High","0",7,3,"High",3,2,0,2
32,"No","Non-Travel","R&D",1,"Below College","Other","Very High","Male","High","1","SalesRep","Low","Divorced",2956,1,"Yes",13,"Very High","0",1,2,"High",1,0,0,0
20,"Yes","Frequently","R&D",6,"Bachelor","Other","Very High","Female","Medium","1","LabTech","Very High","Divorced",2926,1,"No",18,"Medium","0",1,5,"High",1,0,1,0
34,"No","Non-Travel","R&D",6,"Master","Tech","Low","Female","High","2","SalesRep","High","Divorced",4809,1,"Yes",14,"High","0",16,3,"High",16,13,2,10
37,"No","Rarely","R&D",2,"College","Other","High","Male","Medium","2","SalesExec","Very High","Single",5163,5,"Yes",14,"Very High","1",17,2,"Very High",1,0,0,0
59,"No","Rarely","Sales",2,"Master","LifeSci","High","Female","Medium","5","ManufacturingDir","Very High","Married",18844,9,"Yes",21,"Very High","1",30,3,"High",3,2,2,2
50,"No","Frequently","R&D",1,"Bachelor","Other","Low","Female","High","5","Mgr","Medium","Married",18172,3,"No",19,"Low","0",28,1,"Medium",8,3,0,7
25,"Yes","Non-Travel","HR",5,"Bachelor","Medical","High","Male","Medium","2","ResearchDir","High","Divorced",5744,1,"No",11,"Very High","0",6,1,"High",6,4,0,3
25,"No","Non-Travel","R&D",7,"Below College","Marketing","Very High","Male","Medium","1","SalesRep","Very High","Married",2889,1,"Yes",11,"High","2",2,2,"High",2,2,2,1
22,"No","Non-Travel","R&D",15,"Bachelor","Marketing","Medium","Female","High","1","LabTech","Very High","Divorced",2871,1,"Yes",15,"High","0",1,5,"High",0,0,0,0
51,"No","Frequently","R&D",1,"Master","Marketing","Low","Female","Medium","3","SalesExec","Low","Divorced",7484,3,"Yes",20,"High","0",23,1,"Medium",13,12,12,8
34,"Yes","Frequently","R&D",7,"Bachelor","Other","Low","Male","Low","2","LabTech","High","Divorced",6074,1,"No",24,"Very High","0",9,3,"High",9,7,0,6
54,"No","Rarely","Sales",26,"Bachelor","LifeSci","Very High","Female","Very High","4","ManufacturingDir","Very High","Divorced",17328,2,"No",12,"High","0",23,3,"High",5,3,4,4
24,"No","Non-Travel","R&D",18,"Below College","Other","Medium","Male","High","1","LabTech","High","Married",2774,0,"Yes",12,"High","1",6,2,"High",5,3,1,2
34,"No","Non-Travel","R&D",6,"Master","Other","High","Female","Medium","2","SalesRep","Medium","Single",4505,6,"Yes",15,"High","1",12,3,"High",1,0,0,0
37,"No","Non-Travel","HR",3,"Bachelor","Other","High","Male","High","3","ResearchDir","Very High","Divorced",7428,2,"Yes",12,"Low","0",12,3,"High",5,3,1,3
34,"No","Non-Travel","R&D",5,"Bachelor","Marketing","High","Female","Medium","3","ManufacturingDir","Low","Divorced",11631,2,"Yes",12,"Very High","0",14,6,"High",11,10,5,8
36,"No","Frequently","HR",11,"College","HR","Medium","Female","High","3","ResearchDir","Very High","Married",9738,0,"Yes",14,"High","1",10,6,"High",9,7,2,8
36,"No","Non-Travel","R&D",3,"College","Other","Low","Female","High","1","LabTech","Very High","Single",2835,5,"Yes",22,"Low","1",7,2,"High",1,0,0,0
43,"No","Frequently","HR",26,"College","Other","High","Male","High","4","ManufacturingDir","Very High","Married",16959,1,"No",12,"Very High","2",25,3,"Very High",25,12,4,12
30,"No","Frequently","R&D",23,"Bachelor","Other","Low","Male","Low","1","SalesRep","High","Single",2613,1,"Yes",25,"High","3",10,2,"Medium",10,7,0,9
33,"No","Rarely","HR",22,"College","Medical","High","Male","High","2","ResearchDir","Medium","Married",6146,0,"Yes",13,"Low","1",8,2,"Very High",7,7,0,7
56,"Yes","Non-Travel","R&D",14,"Master","Other","Medium","Female","High","1","SalesRep","Medium","Married",4963,9,"No",18,"Low","3",7,2,"High",5,4,4,3
51,"No","Non-Travel","R&D",6,"Bachelor","Other","Low","Male","High","5","Mgr","High","Divorced",19537,7,"Yes",13,"High","0",23,5,"High",20,18,15,15
31,"Yes","Non-Travel","HR",6,"Master","Other","Medium","Male","Low","2","ResearchDir","High","Married",6172,4,"No",18,"Medium","0",12,3,"Medium",7,7,7,7
26,"No","Non-Travel","R&D",6,"Bachelor","Tech","High","Female","Medium","1","SalesRep","Medium","Married",2368,1,"Yes",19,"High","0",5,3,"Medium",5,4,4,3
58,"Yes","Non-Travel","R&D",23,"Master","Marketing","Very High","Female","High","3","SalesExec","Very High","Married",10312,1,"Yes",12,"Very High","1",40,3,"Medium",40,10,15,6
19,"Yes","Non-Travel","HR",22,"Below College","Medical","Very High","Male","High","1","HR Personnel","High","Divorced",1675,1,"No",19,"Very High","0",0,2,"Medium",0,0,0,0
22,"No","Non-Travel","R&D",2,"Below College","HR","High","Male","High","1","LabTech","Very High","Married",2523,0,"Yes",14,"High","1",3,2,"High",2,1,2,1
49,"No","Non-Travel","R&D",20,"Master","Marketing","High","Female","High","2","HealthcareRep","Low","Married",6567,1,"Yes",14,"High","0",16,2,"Medium",15,11,5,11
43,"No","Frequently","R&D",28,"Bachelor","Marketing","Medium","Female","Very High","1","SalesRep","High","Divorced",4739,4,"Yes",12,"Very High","0",18,2,"High",3,2,1,2
50,"No","Frequently","HR",12,"Bachelor","Medical","High","Female","High","3","ResearchDir","Very High","Divorced",9208,4,"Yes",11,"Very High","0",16,3,"High",2,2,2,1
31,"Yes","Non-Travel","HR",20,"Bachelor","Other","Medium","Female","Low","2","ResearchDir","High","Married",4559,3,"No",11,"High","1",4,2,"High",2,2,2,2
41,"No","Non-Travel","HR",9,"Below College","Other","High","Male","High","3","ResearchDir","High","Single",8189,3,"No",13,"High","1",12,2,"High",9,7,0,7
26,"No","Non-Travel","Sales",25,"Below College","Other","High","Female","High","1","ResearchSci","High","Married",2942,1,"Yes",23,"Very High","1",8,3,"High",8,7,5,7
36,"No","Non-Travel","R&D",6,"College","Marketing","Medium","Male","High","2","HealthcareRep","Medium","Single",4941,6,"Yes",20,"Very High","2",7,0,"High",3,2,0,1
51,"Yes","Frequently","R&D",8,"Master","Other","Low","Male","Low","3","HealthcareRep","Very High","Divorced",10650,2,"Yes",15,"Very High","0",18,2,"High",4,2,0,3
39,"No","Non-Travel","HR",4,"Master","Other","Very High","Female","Medium","2","ResearchDir","High","Married",5902,4,"Yes",14,"High","1",17,1,"Very High",15,11,5,9
25,"No","Non-Travel","HR",28,"Bachelor","Other","Low","Male","Medium","2","ResearchDir","High","Married",8639,2,"Yes",18,"Very High","0",6,3,"High",2,2,2,2
30,"No","Non-Travel","Sales",9,"Bachelor","LifeSci","High","Male","High","2","ResearchSci","Very High","Married",6347,0,"No",19,"Very High","0",12,2,"Low",11,9,4,7
32,"Yes","Non-Travel","R&D",9,"Bachelor","Marketing","Low","Female","High","1","LabTech","Low","Divorced",4200,7,"Yes",22,"Low","0",10,2,"Very High",5,4,0,4
45,"No","Non-Travel","R&D",29,"Bachelor","Marketing","High","Male","High","1","SalesRep","Very High","Divorced",3452,5,"Yes",13,"Medium","0",9,2,"Medium",6,5,0,3
38,"No","Non-Travel","R&D",3,"Doctor","HR","Very High","Female","High","2","SalesRep","High","Divorced",4317,3,"No",20,"Medium","0",19,2,"High",3,2,2,2
30,"No","Non-Travel","R&D",18,"Bachelor","Other","Low","Female","High","1","SalesRep","High","Divorced",2632,1,"Yes",14,"High","0",5,4,"Medium",5,4,0,4
32,"No","Frequently","HR",9,"College","Marketing","Very High","Male","Low","2","ResearchDir","Very High","Single",4668,0,"Yes",17,"Very High","3",9,2,"Very High",8,7,0,7
30,"No","Non-Travel","R&D",5,"Bachelor","HR","Very High","Female","High","1","SalesRep","Low","Single",3204,5,"Yes",14,"Very High","1",8,3,"High",3,2,2,2
30,"No","Non-Travel","R&D",2,"Below College","Marketing","Medium","Male","Medium","1","LabTech","Very High","Divorced",2720,0,"Yes",13,"Very High","0",6,3,"High",5,3,1,2
41,"No","Frequently","R&D",10,"Bachelor","Other","Very High","Male","Medium","4","ManufacturingDir","Low","Single",17181,4,"Yes",13,"Medium","1",21,2,"Medium",7,6,7,7
41,"No","Non-Travel","R&D",9,"Master","Other","High","Male","High","1","LabTech","Low","Married",2238,2,"Yes",21,"Very High","1",7,2,"High",5,0,1,4
19,"No","Non-Travel","R&D",3,"Below College","Marketing","Medium","Female","High","1","LabTech","Medium","Divorced",1483,1,"Yes",14,"Very High","0",1,3,"High",1,0,0,0
40,"No","Frequently","R&D",26,"Bachelor","Marketing","Medium","Female","High","2","SalesRep","Medium","Single",5605,1,"Yes",11,"Low","1",20,2,"High",20,7,2,13
35,"No","Non-Travel","HR",1,"Doctor","Medical","High","Male","High","3","ResearchDir","Medium","Married",7295,1,"Yes",13,"Low","2",10,3,"High",10,8,0,6
53,"No","Non-Travel","HR",6,"College","Medical","Medium","Male","High","2","HR Personnel","High","Married",2306,2,"No",20,"Very High","1",13,3,"Low",7,7,4,5
45,"No","Non-Travel","R&D",9,"Bachelor","Other","Medium","Male","High","2","LabTech","Medium","Single",2348,8,"Yes",18,"High","1",20,2,"Low",17,9,0,15
32,"No","Frequently","HR",8,"Bachelor","Medical","Medium","Female","High","3","ResearchDir","Very High","Divorced",8998,1,"Yes",14,"Very High","0",9,2,"High",9,8,3,7
29,"No","Rarely","R&D",1,"Below College","HR","Very High","Male","High","2","HealthcareRep","High","Married",4319,1,"Yes",13,"Low","1",10,1,"High",10,7,0,9
51,"No","Non-Travel","R&D",7,"Master","Marketing","Medium","Male","Medium","2","HealthcareRep","High","Married",6132,2,"Yes",17,"High","0",10,2,"High",1,0,0,0
58,"No","Non-Travel","R&D",9,"Bachelor","Marketing","Medium","Female","Medium","1","SalesRep","Medium","Married",3346,4,"No",20,"Medium","1",9,3,"Medium",1,0,0,0
40,"No","Non-Travel","HR",4,"Master","Medical","High","Male","Medium","3","ResearchDir","Very High","Married",10855,7,"Yes",11,"Low","1",15,2,"Medium",12,11,2,11
34,"No","Frequently","HR",2,"Master","Medical","High","Female","High","1","HR Personnel","High","Married",2231,6,"Yes",18,"Very High","1",6,3,"High",4,3,1,2
22,"No","Non-Travel","R&D",19,"Below College","Marketing","High","Male","High","1","SalesRep","Very High","Married",2323,1,"Yes",24,"Low","2",2,6,"High",2,2,2,2
